fluid_id,altura,tempo,concentracao,regime
8,4.0,13,0.21946154850364316,1
8,4.0,14,0.21926690571931443,0
8,4.0,15,0.2177233246317708,1
8,4.0,18,0.22268821753439108,1
8,4.0,19,0.22473525776144657,1
8,4.0,20,0.22615076640591084,1
8,4.0,21,0.22443879912621023,1
8,4.0,22,0.22799323305214314,1
8,4.0,25,0.2247553870394018,1
8,4.0,26,0.22521742999923663,0
8,4.0,27,0.22539714222673854,0
8,4.0,28,0.22652951785859587,1
8,4.0,32,0.22958895381375113,1
8,4.0,33,0.22667948691976628,2
8,4.0,34,0.22988322397118424,1
8,4.0,35,0.23126077456223068,1
8,4.0,36,0.23391950848592677,1
8,4.0,39,0.2316889854802184,1
8,4.0,40,0.23094803163690683,1
8,4.0,41,0.22968889599355916,1
8,4.0,42,0.23177531481959293,1
8,4.0,43,0.2322074221064716,0
8,4.0,46,0.2312622636317673,0
8,4.0,47,0.2307713500311357,0
8,4.0,48,0.23148693911073429,1
8,4.0,49,0.23103945592013642,0
8,4.0,50,0.22965474590971005,1
8,8.0,1,0.185862037966554,1
8,8.0,2,0.18880372103197818,1
8,8.0,4,0.1866487248159957,1
8,8.0,5,0.18615231728229217,0
8,8.0,6,0.18891233273763108,1
8,8.0,7,0.1866157718771304,2
8,8.0,8,0.19348553633373458,1
8,8.0,9,0.1965996272367043,1
8,8.0,11,0.20155269820873523,1
8,8.0,12,0.2035808966924004,1
8,8.0,13,0.20762596723664883,1
8,8.0,14,0.20704505326413378,1
8,8.0,15,0.21067662774417406,1
8,8.0,18,0.21469283384247675,1
8,8.0,19,0.2166647991303782,1
8,8.0,20,0.21794431504105358,1
8,8.0,21,0.21808873086148658,0
8,8.0,22,0.21699751130383718,1
8,8.0,25,0.2219580137040493,1
8,8.0,26,0.22109797056826808,1
8,8.0,27,0.22233251047840777,1
8,8.0,28,0.22104800166157243,1
8,8.0,32,0.2261708705718607,1
8,8.0,33,0.22582226212990766,0
8,8.0,34,0.22505991908273484,1
8,8.0,35,0.2276960401857121,1
8,8.0,36,0.22632203427672345,1
8,8.0,39,0.2273101728086645,0
8,8.0,40,0.2271779270883638,0
8,8.0,41,0.22869550257593016,1
8,8.0,42,0.2273501529121501,1
8,8.0,43,0.22965327597669163,1
8,8.0,46,0.23050832332909255,0
8,8.0,47,0.22868271664518577,1
8,8.0,48,0.2275340850493807,1
8,8.0,49,0.2302075359117598,1
8,8.0,50,0.22978211571541196,0
8,12.0,1,0.18694819085581438,1
8,12.0,2,0.18893663178372677,1
8,12.0,4,0.1838174197385403,2
8,12.0,5,0.18514128894227166,1
8,12.0,6,0.18608587031946164,1
8,12.0,7,0.18456749435613373,1
8,12.0,8,0.19019282974838225,1
8,12.0,9,0.19011849603021128,0
8,12.0,11,0.19909431968912553,1
8,12.0,12,0.1974992046594535,1
8,12.0,13,0.20175290281426791,1
8,12.0,14,0.20232976493532207,1
8,12.0,15,0.20274398160470522,0
8,12.0,18,0.2092568482524613,1
8,12.0,19,0.21208977373131588,1
8,12.0,20,0.21417191883137654,1
8,12.0,21,0.21443283510287037,0
8,12.0,22,0.2153542426318664,1
8,12.0,25,0.21843753783038442,1
8,12.0,26,0.21946901565781118,1
8,12.0,27,0.22053000071383835,1
8,12.0,28,0.21893024021172833,1
8,12.0,32,0.22287359958912137,1
8,12.0,33,0.22489423656626686,1
8,12.0,34,0.22363106253219464,1
8,12.0,35,0.22261598003916708,1
8,12.0,36,0.22608163207457263,1
8,12.0,39,0.22675264136477313,0
8,12.0,40,0.2243858914978111,2
8,12.0,41,0.22531718131176406,1
8,12.0,42,0.22744621489513503,1
8,12.0,43,0.22916970343526813,1
8,12.0,46,0.2287254291059834,0
8,12.0,47,0.2281896746377743,1
8,12.0,48,0.22745652938402186,1
8,12.0,49,0.2295542759776897,1
8,12.0,50,0.2286300645220594,1
8,16.0,1,0.186192783477132,1
8,16.0,2,0.18858107885908257,1
8,16.0,4,0.18454671675523518,2
8,16.0,5,0.18482160696832337,0
8,16.0,6,0.18544531147253282,1
8,16.0,7,0.1829053826773879,2
8,16.0,8,0.19005489549695262,1
8,16.0,9,0.19422096244702702,1
8,16.0,11,0.19550120769013069,1
